11
11
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	0.00
0.00	-0.025	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.10	-0.10	-0.10	-0.10	-0.10	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.10	-0.15	-0.15	-0.15	-0.10	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.10	-0.15	-0.0	-0.15	-0.10	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.10	-0.15	-0.15	-0.15	-0.10	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.10	-0.10	-0.10	-0.10	-0.10	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.025	0.00
0.00	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
