11
11
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	0.00
0.00	-0.025	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.025	-0.025	-0.025	-0.025	-0.025	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.025	-0.00	-0.00	-0.00	-0.025	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.025	-0.00	-0.00	-0.00	-0.025	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.025	-0.00	-0.00	-0.00	-0.025	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.025	-0.025	-0.025	-0.025	-0.025	-0.05	-0.025	0.00
0.00	-0.025	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05	-0.025	0.00
0.00	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	-0.025	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
